,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,109.931 (13.353),106.000,0.011 (0.012),0.997 (0.004),134.731 (14.072),130.000,0.011 (0.011),0.997 (0.005),146.222 (15.963),141.000,0.012 (0.011),0.996 (0.005)
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,514.984 (22.072),502.000,0.009 (0.007),0.997 (0.002),838.665 (70.192),552.000,0.045 (0.005),0.958 (0.011),585.998 (23.899),573.000,0.009 (0.007),0.997 (0.003)
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,106.191 (13.358),106.000,0.004 (0.006),0.999 (0.001),129.815 (14.843),130.000,0.004 (0.005),0.999 (0.001),142.067 (17.43),141.000,0.005 (0.006),0.999 (0.001)
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,507.149 (25.300),502.000,0.004 (0.004),1.000 (0.001),2020.48 (140.566),552.000,0.052 (0.002),0.946 (0.006),578.852 (30.675),573.000,0.004 (0.004),0.999 (0.001)
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,111.308 (12.401),106.000,0.013 (0.012),0.997 (0.004),135.343 (13.578),130.000,0.012 (0.011),0.997 (0.004),147.156 (14.632),141.000,0.012 (0.011),0.996 (0.004)
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,514.440 (23.505),502.000,0.009 (0.008),0.998 (0.003),847.758 (65.942),552.000,0.046 (0.005),0.956 (0.010),586.468 (26.33),573.000,0.009 (0.007),0.997 (0.003)
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,106.601 (15.087),106.000,0.005 (0.006),0.999 (0.001),130.401 (16.707),130.000,0.005 (0.006),0.999 (0.001),141.153 (19.986),141.000,0.005 (0.006),0.999 (0.001)
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,510.668 (24.572),502.000,0.004 (0.004),0.999 (0.001),1994.806 (149.408),552.000,0.051 (0.003),0.946 (0.006),581.742 (30.841),573.000,0.004 (0.004),0.999 (0.001)
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,99.113 (12.299),106.000,0.005 (0.008),0.999 (0.002),118.843 (13.333),130.000,0.003 (0.007),0.999 (0.002),134.871 (14.039),141.000,0.005 (0.008),0.999 (0.003)
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,510.546 (24.362),502.000,0.008 (0.008),0.998 (0.002),563.046 (23.148),552.000,0.008 (0.007),0.998 (0.002),580.216 (24.535),573.000,0.007 (0.007),0.998 (0.002)
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,98.845 (15.504),106.000,0.003 (0.005),1.000 (0.001),121.149 (17.425),130.000,0.003 (0.005),1.000 (0.001),133.148 (17.611),141.000,0.003 (0.005),1.000 (0.001)
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,502.915 (29.170),502.000,0.003 (0.004),1.000 (0.001),560.285 (29.717),552.000,0.004 (0.004),0.999 (0.001),573.665 (30.744),573.000,0.003 (0.004),1.000 (0.001)
