,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,123.398 (17.074),106.000,0.023 (0.013),0.986 (0.011),159.325 (18.298),140.000,0.021 (0.012),0.984 (0.013),148.802 (18.977),130.000,0.021 (0.013),0.985 (0.013)
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,558.231 (32.157),502.000,0.020 (0.007),0.986 (0.008),608.241 (33.368),550.000,0.019 (0.007),0.985 (0.008),628.285 (33.425),572.000,0.019 (0.007),0.986 (0.008)
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,163.385 (22.108),106.000,0.023 (0.004),0.989 (0.004),192.689 (24.437),130.000,0.022 (0.004),0.988 (0.005),201.38 (25.792),140.000,0.020 (0.004),0.988 (0.005)
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,705.005 (58.698),502.000,0.020 (0.003),0.988 (0.004),761.127 (60.931),550.000,0.019 (0.003),0.987 (0.004),781.161 (60.577),572.000,0.019 (0.003),0.988 (0.004)
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,122.432 (14.370),106.000,0.022 (0.012),0.987 (0.010),147.874 (15.85),130.000,0.021 (0.012),0.986 (0.011),158.303 (16.097),140.000,0.020 (0.012),0.985 (0.011)
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,553.315 (32.637),502.000,0.019 (0.007),0.987 (0.008),602.898 (33.971),550.000,0.018 (0.007),0.987 (0.008),624.822 (35.792),572.000,0.018 (0.007),0.987 (0.009)
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,151.186 (22.070),106.000,0.020 (0.006),0.991 (0.004),179.678 (24.289),130.000,0.019 (0.006),0.991 (0.005),191.687 (24.257),140.000,0.019 (0.005),0.990 (0.004)
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,669.518 (35.557),502.000,0.018 (0.002),0.990 (0.002),723.899 (37.617),550.000,0.018 (0.002),0.990 (0.002),747.112 (37.467),572.000,0.017 (0.002),0.990 (0.002)
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,109.771 (16.230),106.000,0.012 (0.013),0.994 (0.008),134.198 (17.784),130.000,0.011 (0.012),0.994 (0.009),144.292 (18.055),140.000,0.011 (0.012),0.993 (0.009)
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,520.691 (28.184),502.000,0.011 (0.008),0.995 (0.005),592.089 (31.079),572.000,0.010 (0.008),0.994 (0.006),569.333 (29.071),550.000,0.010 (0.008),0.995 (0.006)
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,106.252 (12.910),106.000,0.004 (0.005),0.999 (0.001),130.711 (14.47),130.000,0.004 (0.005),0.999 (0.002),141.136 (16.068),140.000,0.005 (0.005),0.999 (0.002)
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,507.522 (31.957),502.000,0.004 (0.004),0.999 (0.001),576.317 (34.639),572.000,0.004 (0.004),0.999 (0.001),555.959 (33.633),550.000,0.004 (0.004),0.999 (0.001)
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,392.095 (65.768),106.000,0.103 (0.012),0.866 (0.031),447.929 (71.684),140.000,0.093 (0.011),0.855 (0.034),441.658 (71.91),130.000,0.097 (0.011),0.854 (0.034)
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,1415.535 (175.071),502.000,0.085 (0.008),0.862 (0.026),1501.592 (179.544),572.000,0.080 (0.008),0.860 (0.027),1494.64 (181.542),550.000,0.083 (0.008),0.857 (0.027)
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,1315.644 (148.437),106.000,0.107 (0.007),0.857 (0.019),1461.112 (162.567),140.000,0.097 (0.006),0.844 (0.021),1456.451 (162.831),130.000,0.101 (0.006),0.843 (0.021)
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,4378.302 (357.608),502.000,0.088 (0.004),0.853 (0.014),4584.376 (370.926),572.000,0.084 (0.004),0.848 (0.014),4586.364 (372.278),550.000,0.086 (0.004),0.847 (0.014)
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,377.572 (66.295),106.000,0.101 (0.012),0.879 (0.030),437.65 (71.311),140.000,0.092 (0.011),0.867 (0.032),425.159 (71.927),130.000,0.095 (0.011),0.868 (0.033)
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,1382.446 (176.716),502.000,0.083 (0.009),0.872 (0.028),1468.557 (180.139),572.000,0.079 (0.008),0.870 (0.028),1459.555 (182.398),550.000,0.081 (0.008),0.868 (0.028)
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,1188.640 (111.934),106.000,0.101 (0.005),0.877 (0.013),1338.015 (122.417),140.000,0.092 (0.005),0.864 (0.014),1316.251 (122.692),130.000,0.095 (0.005),0.866 (0.014)
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,4192.140 (371.801),502.000,0.086 (0.004),0.864 (0.014),4402.513 (387.054),572.000,0.082 (0.004),0.858 (0.014),4390.689 (387.297),550.000,0.083 (0.004),0.858 (0.015)
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,110.270 (15.356),106.000,0.012 (0.013),0.998 (0.003),143.855 (18.18),140.000,0.011 (0.012),0.997 (0.004),134.504 (16.703),130.000,0.012 (0.012),0.997 (0.004)
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,515.642 (29.135),502.000,0.009 (0.008),0.998 (0.002),587.747 (29.821),572.000,0.009 (0.008),0.998 (0.003),564.427 (30.017),550.000,0.009 (0.008),0.998 (0.002)
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,114.789 (14.307),106.000,0.008 (0.006),0.999 (0.001),152.605 (17.789),140.000,0.008 (0.006),0.999 (0.001),139.943 (16.446),130.000,0.007 (0.006),0.999 (0.001)
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,531.913 (37.841),502.000,0.007 (0.005),0.999 (0.001),608.367 (40.693),572.000,0.007 (0.005),0.999 (0.001),581.734 (39.853),550.000,0.007 (0.005),0.999 (0.001)
