,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,110.683 (13.799),108.000,0.011 (0.012),0.997 (0.004),135.063 (14.199),132.000,0.010 (0.011),0.997 (0.004),146.771 (16.851),143.000,0.010 (0.012),0.996 (0.006)
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,510.793 (21.497),504.000,0.007 (0.007),0.998 (0.002),558.767 (22.312),552.000,0.007 (0.007),0.998 (0.002),582.656 (24.006),575.000,0.007 (0.007),0.998 (0.003)
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,110.327 (14.258),108.000,0.005 (0.006),0.999 (0.001),134.357 (15.717),132.000,0.005 (0.005),0.999 (0.001),145.43 (17.181),143.000,0.005 (0.006),0.999 (0.001)
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,509.104 (26.933),504.000,0.004 (0.004),0.999 (0.001),557.684 (28.822),552.000,0.004 (0.004),0.999 (0.001),579.911 (31.765),575.000,0.004 (0.004),0.999 (0.001)
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,108.936 (13.621),108.000,0.010 (0.011),0.997 (0.004),132.534 (15.557),132.000,0.009 (0.011),0.997 (0.004),144.465 (18.204),143.000,0.010 (0.011),0.996 (0.005)
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,521.199 (25.477),504.000,0.010 (0.008),0.997 (0.003),570.079 (26.132),552.000,0.010 (0.008),0.997 (0.003),592.879 (27.958),575.000,0.010 (0.008),0.997 (0.004)
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,108.892 (13.285),108.000,0.005 (0.005),0.999 (0.001),133.166 (15.04),132.000,0.005 (0.005),0.999 (0.001),142.982 (18.211),143.000,0.005 (0.006),0.999 (0.001)
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,513.514 (24.704),504.000,0.004 (0.004),0.999 (0.001),562.137 (25.956),552.000,0.004 (0.004),0.999 (0.001),586.034 (27.096),575.000,0.004 (0.004),0.999 (0.001)
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,112.188 (12.948),108.000,0.012 (0.011),0.997 (0.004),136.937 (13.998),132.000,0.012 (0.011),0.996 (0.004),150.917 (17.197),143.000,0.013 (0.012),0.995 (0.006)
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,515.557 (23.257),504.000,0.008 (0.007),0.997 (0.003),563.76 (24.235),552.000,0.008 (0.007),0.997 (0.003),585.408 (26.979),575.000,0.007 (0.008),0.997 (0.003)
6,200807,1000.000,unbalanced,12.000,5.000,0.000,1.000,108.508 (15.177),108.000,0.005 (0.006),0.999 (0.001),133.089 (17.574),132.000,0.005 (0.006),0.999 (0.001),144.798 (18.163),143.000,0.005 (0.006),0.999 (0.001)
12,200813,1000.000,unbalanced,24.000,5.000,0.000,1.000,509.268 (26.826),504.000,0.004 (0.004),0.999 (0.001),556.762 (28.202),552.000,0.003 (0.004),0.999 (0.001),578.552 (30.89),575.000,0.003 (0.004),0.999 (0.001)
37,200838, 250.000,balanced,12.000,5.000,0.000,2.000,110.843 (13.730),106.000,0.013 (0.012),0.993 (0.008),135.492 (15.126),130.000,0.012 (0.011),0.992 (0.009),146.581 (16.076),140.000,0.013 (0.011),0.992 (0.010)
43,200844, 250.000,balanced,24.000,5.000,0.000,2.000,516.780 (25.953),502.000,0.010 (0.008),0.995 (0.006),565.054 (26.498),550.000,0.009 (0.008),0.995 (0.006),586.608 (27.562),572.000,0.009 (0.008),0.995 (0.006)
38,200839,1000.000,balanced,12.000,5.000,0.000,2.000,105.678 (14.287),106.000,0.005 (0.006),0.999 (0.002),129.291 (16.307),130.000,0.004 (0.005),0.999 (0.002),138.553 (17.805),140.000,0.004 (0.005),0.999 (0.002)
44,200845,1000.000,balanced,24.000,5.000,0.000,2.000,508.122 (28.091),502.000,0.004 (0.004),0.999 (0.001),557.31 (29.454),550.000,0.004 (0.004),0.999 (0.001),579.564 (30.047),572.000,0.004 (0.004),0.999 (0.001)
39,200840, 250.000,semi-balanced,12.000,5.000,0.000,2.000,110.734 (16.342),106.000,0.013 (0.013),0.993 (0.010),135.036 (18.069),130.000,0.012 (0.012),0.992 (0.011),145.049 (19.11),140.000,0.012 (0.012),0.992 (0.011)
45,200846, 250.000,semi-balanced,24.000,5.000,0.000,2.000,512.515 (28.675),502.000,0.008 (0.008),0.995 (0.006),560.67 (29.51),550.000,0.008 (0.008),0.995 (0.006),582.052 (29.574),572.000,0.008 (0.008),0.995 (0.006)
40,200841,1000.000,semi-balanced,12.000,5.000,0.000,2.000,103.095 (11.884),106.000,0.003 (0.005),0.999 (0.001),126.677 (13.234),130.000,0.003 (0.004),0.999 (0.002),137.673 (14.244),140.000,0.003 (0.005),0.999 (0.002)
46,200847,1000.000,semi-balanced,24.000,5.000,0.000,2.000,504.616 (26.278),502.000,0.003 (0.004),0.999 (0.001),552.535 (27.425),550.000,0.003 (0.004),0.999 (0.001),574.29 (29.968),572.000,0.003 (0.004),0.999 (0.001)
41,200842, 250.000,unbalanced,12.000,5.000,0.000,2.000,108.880 (14.421),106.000,0.011 (0.012),0.994 (0.008),133.238 (15.62),130.000,0.011 (0.011),0.994 (0.009),143.401 (17.042),140.000,0.011 (0.011),0.993 (0.010)
47,200848, 250.000,unbalanced,24.000,5.000,0.000,2.000,516.664 (23.241),502.000,0.010 (0.007),0.995 (0.005),588.852 (24.812),572.000,0.010 (0.007),0.995 (0.005),565.612 (24.162),550.000,0.009 (0.007),0.995 (0.005)
