,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Thr_comb,NoARS_Load_chi,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Load_comb
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.050,0.040,0.030,0.010,0.060,0.100,0.000,0.000
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.050,0.000,0.000,0.000
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.080,0.000,0.000,0.000
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.080,0.000,0.000,0.000
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.060,0.020,0.010,0.070,0.070,0.000,0.030
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.100,0.000,0.000,0.000,0.060,0.000,0.000,0.000
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.070,0.000,0.000,0.000
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.040,0.000,0.000,0.000
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.010,0.070,0.010,0.000,0.040,0.110,0.000,0.040
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.030,0.010,0.000,0.000
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.010,0.000,0.000,0.040,0.010,0.000,0.010
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.010,0.000,0.000,0.000
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,1.000,1.000,0.060,0.000,0.020,0.060,0.140,0.010,0.020,0.000
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,0.990,1.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1.000,1.000,0.090,0.000,0.000,0.090,0.240,0.000,0.000,0.000
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,1.000,1.000,0.030,0.000,0.000,0.000,0.090,0.000,0.000,0.000
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,0.990,0.050,0.000,0.010,0.050,0.160,0.030,0.050,0.000
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,0.990,1.000,0.030,0.000,0.000,0.000,0.100,0.000,0.000,0.000
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,1.000,0.070,0.000,0.000,0.070,0.420,0.000,0.000,0.000
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,1.000,0.060,0.000,0.000,0.000,0.110,0.000,0.000,0.000
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.020,0.100,0.000,0.010,0.070,0.080,0.000,0.050
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.020,0.030,0.000,0.000,0.050,0.000,0.000,0.020
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.050,0.080,0.000,0.020,0.110,0.000,0.000,0.040
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.100,0.010,0.000,0.000,0.120,0.000,0.000,0.010
